Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
08/15/2021,30091,33,Sheridan County,MT,39.7,1313,1313,46.1,1308,49.9,653,84.8,95.6,1382,41.8,1382,48.5,1361,52,666,86.5,Low,Low-Mod VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI
08/15/2021,47009,33,Blount County,TN,40.7,54185,54181,46.6,52499,49.3,20462,74.8,97.8,61695,46.4,61678,53,59193,55.5,21990,80.3,Low,Mod-High VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI
08/15/2021,39027,33,Clinton County,OH,37.5,15726,15725,43.9,15140,46.7,5658,76.8,97.6,16218,38.6,16214,45.3,15516,47.9,5721,77.6,Low-Mod,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI
08/15/2021,41059,33,Umatilla County,OR,40.8,31782,31742,48.7,30073,51.5,9200,73.5,97.7,36416,46.7,36347,55.8,34031,58.3,10312,82.4,High,Mod-High VC/High SVI,Mod-High VC/High SVI,High VC/High SVI,High VC/High SVI
08/15/2021,19035,33,Cherokee County,IA,44.7,5025,5025,52.2,4949,56.2,2201,79.5,97.5,5433,48.4,5433,56.4,5315,60.4,2314,83.5,Low,Mod-High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
08/15/2021,37113,33,Macon County,NC,30.2,10813,10802,34.2,10531,36,4409,42.6,96.3,12454,34.7,12425,39.3,12060,41.2,4778,46.2,Low-Mod,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI
08/15/2021,29157,33,Perry County,MO,29.7,5687,5687,34.8,5581,37.9,2481,67.4,90.9,6620,34.6,6620,40.5,6461,43.8,2649,72,Low,Low VC/Low SVI,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI
08/15/2021,9005,33,Litchfield County,CT,63.9,115190,115167,71.7,108938,73.6,34888,88,98.4,125962,69.8,125903,78.3,118258,79.9,36817,92.8,Low,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
08/15/2021,56023,33,Lincoln County,WY,29.1,5767,5767,35.1,5639,38.6,2310,64.6,96.4,6593,33.2,6593,40.1,6365,43.6,2482,69.4,Low,Low VC/Low SVI,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI
08/15/2021,46102,33,Oglala Lakota County,SD,45.8,6497,6497,61.1,5630,62.8,788,74.8,83.7,8209,57.9,8207,77.2,6925,77.3,869,82.5,High,Mod-High VC/High SVI,High VC/High SVI,High VC/High SVI,High VC/High SVI
